Name,Streak,Day,Coins,Gems,Bought,Storage
Luke,2,2025-03-02,95,0,"{'Emoji Kitchen':False,'WPM':False,'Freeze':False,'Password':False,'Store':False}",""
David,2,2025-03-02,0,0,"{'Emoji Kitchen':False,'WPM':False,'Freeze':False,'Password':False,'Store':False}",""
Mommeo,1,2025-03-01,0,0,"{'Emoji Kitchen':False,'WPM':False,'Freeze':False,'Password':False,'Store':False}",""
Kristi,1,2025-03-01,0,0,"{'Emoji Kitchen':False,'WPM':False,'Freeze':False,'Password':False,'Store':False}",""
Matt,0,0,0,0,"{'Emoji Kitchen':False,'WPM':False,'Freeze':False,'Password':False,'Store':False}",""
mark,1,2025-03-01,0,0,"{'Emoji Kitchen':False,'WPM':False,'Freeze':False,'Password':False,'Store':False}",""
Ray Ray,1,2025-03-02,0,0,"{'Emoji Kitchen':False,'WPM':False,'Freeze':False,'Password':False,'Store':False}",""
